isin,name,mic,market_code,currency,instrument_type,ticker_bloomberg,ticker_google,yf_symbol,exchange_name
DE000A1EWWW0,ADIDAS AG ADIDAS,XETR,DEU-XETRA,EUR,STOCK,ADS:GR,AG,ADS.DE,DEUTSCHE BÖRSE
NL0012969182,ADYEN NV,XETR,DEU-XETRA,EUR,STOCK,1N8:GR,ADYEN,1N8.DE,DEUTSCHE BÖRSE
ES0105046017,AENA SME S.A. AENA,XETR,DEU-XETRA,EUR,STOCK,A441:GR,SME,A441.DE,DEUTSCHE BÖRSE
BE0974264930,AGEAS NV/SA AGEAS,XETR,DEU-XETRA,EUR,STOCK,F04N:GR,NV/SA,F04N.DE,DEUTSCHE BÖRSE
CA0084741085,AGNICO EAGLE MINES AGNICO,XETR,DEU-XETRA,EUR,STOCK,AE9:GR,EAGLE,AE9.DE,DEUTSCHE BÖRSE
NL0011794037,AHOLD DELHAIZE AHOLD,XETR,DEU-XETRA,EUR,STOCK,AHOG:GR,DELHAI,AHOG.DE,DEUTSCHE BÖRSE
FR0000120073,AIR LIQUIDE AIR,XETR,DEU-XETRA,EUR,STOCK,AIL:GR,LIQUIDE,AIL.DE,DEUTSCHE BÖRSE
NL0000235190,AIRBUS GROUP SE AIRBUS,XETR,DEU-XETRA,EUR,STOCK,AIR:GR,GROUP,AIR.DE,DEUTSCHE BÖRSE
DE0008404005,ALLIANZ SE-VINK ALLIANZ,XETR,DEU-XETRA,EUR,STOCK,ALV:GR,SE-V,ALV.DE,DEUTSCHE BÖRSE
FR0010220475,ALSTOM,XETR,DEU-XETRA,EUR,STOCK,AOMD:GR,ALSTOM,AOMD.DE,DEUTSCHE BÖRSE
DE0005093108,AMADEUS FIRE AG AMADEUS,XETR,DEU-XETRA,EUR,STOCK,AAD:GR,FIRE,AAD.DE,DEUTSCHE BÖRSE
ES0109067019,AMADEUS IT GROUP SA AMADEUS,XETR,DEU-XETRA,EUR,STOCK,AI3A:GR,IT,AI3A.DE,DEUTSCHE BÖRSE
CA04045U1021,ARTIZIA,XETR,DEU-XETRA,EUR,STOCK,280:GR,ARTIZIA,280.DE,DEUTSCHE BÖRSE
GB0009895292,ASTRAZENECA PLC ASTRAZENECA,XETR,DEU-XETRA,EUR,STOCK,ZEG:GR,,ZEG.DE,DEUTSCHE BÖRSE
DE0006766504,AURUBIS AG AURUBIS,XETR,DEU-XETRA,EUR,STOCK,NDA:GR,AG,NDA.DE,DEUTSCHE BÖRSE
DE000A2LQ884,AUTO1 GROUP SE AUTO1,XETR,DEU-XETRA,EUR,STOCK,AG1:GR,GROUP,AG1.DE,DEUTSCHE BÖRSE
FR0000120628,AXA,XETR,DEU-XETRA,EUR,STOCK,AXA:GR,AXA,AXA.DE,DEUTSCHE BÖRSE
IT0005244402,BANCA FARMAFACTORING SPA BANCA,XETR,DEU-XETRA,EUR,STOCK,2BF:GR,FARMAF,2BF.DE,DEUTSCHE BÖRSE
DE000BASF111,BASF SE BASF,XETR,DEU-XETRA,EUR,STOCK,BAS:GR,SE,BAS.DE,DEUTSCHE BÖRSE
DE000BAY0017,BAYER AG-REG BAYER,XETR,DEU-XETRA,EUR,STOCK,BAYN:GR,AG-REG,BAYN.DE,DEUTSCHE BÖRSE
DE0005190003,BAYERISCHE MOTOREN WERKE AG,XETR,DEU-XETRA,EUR,STOCK,BMW:GR,BMW,BMW.DE,DEUTSCHE BÖRSE
DE0005158703,BECHTLE AG BECHTLE,XETR,DEU-XETRA,EUR,STOCK,BC8:GR,AG,BC8.DE,DEUTSCHE BÖRSE
LU1704650164,BEFESA SA BEFESA,XETR,DEU-XETRA,EUR,STOCK,BFSA:GR,SA,BFSA.DE,DEUTSCHE BÖRSE
DE0005200000,BEIERSDORF AG,XETR,DEU-XETRA,EUR,STOCK,BEI:GR,BEIERSDORF,BEI.DE,DEUTSCHE BÖRSE
DE0005909006,BILFINGER SE BILFINGER,XETR,DEU-XETRA,EUR,STOCK,GBF:GR,SE,GBF.DE,DEUTSCHE BÖRSE
DE000A1TNV91,BITCOIN GROUP SE BITCOINGROUP,XETR,DEU-XETRA,EUR,STOCK,ADE:GR,,ADE.DE,DEUTSCHE BÖRSE
FR0000131104,BNP PARIBAS BNP,XETR,DEU-XETRA,EUR,STOCK,BNP:GR,PARIBAS,BNP.DE,DEUTSCHE BÖRSE
DE0005493092,BORUSSIA DORTMUND BORUSSIA,XETR,DEU-XETRA,EUR,STOCK,BVB:GR,DOR,BVB.DE,DEUTSCHE BÖRSE
DE000A1DAHH0,BRENNTAG AG BRENNTAG,XETR,DEU-XETRA,EUR,STOCK,BNR:GR,AG,BNR.DE,DEUTSCHE BÖRSE
FR0000120503,BOUYGUES,XETR,DEU-XETRA,EUR,STOCK,BYG:GR,BOUYGUES,BYG.DE,DEUTSCHE BÖRSE
CA13321L1085,CAMECO CORPORATION CAMECO,XETR,DEU-XETRA,EUR,STOCK,CJ6:GR,CORP,CJ6.DE,DEUTSCHE BÖRSE
FR001400T0D6,CANAL+ CANAL+,XETR,DEU-XETRA,EUR,STOCK,CAN:GR,,CAN.DE,DEUTSCHE BÖRSE
FR0000125338,CAPGEMINI SA CAPGEMINI,XETR,DEU-XETRA,EUR,STOCK,CGM:GR,SA,CGM.DE,DEUTSCHE BÖRSE
DK0010181759,CARLSBERG A/S RKS B CARLSBERG,XETR,DEU-XETRA,EUR,STOCK,CBGB:GR,AG,CBGB.DE,DEUTSCHE BÖRSE
FR0000120172,CARREFOUR,XETR,DEU-XETRA,EUR,STOCK,CAR:GR,CARREFOUR,CAR.DE,DEUTSCHE BÖRSE
CZ0005112300,CEZ AS CEZ,XETR,DEU-XETRA,EUR,STOCK,CEZ:GR,AS,CEZ.DE,DEUTSCHE BÖRSE
DK0060448595,COLOPLAST AS,XETR,DEU-XETRA,EUR,STOCK,CBHD:GR,COLOPLAST,CBHD.DE,DEUTSCHE BÖRSE
DE000CBK1001,COMMERZBANK COMMERZBANK,XETR,DEU-XETRA,EUR,STOCK,CBK:GR,,CBK.DE,DEUTSCHE BÖRSE
FR0000125007,COMPAGNIE DE SAINT-GOBAIN,XETR,DEU-XETRA,EUR,STOCK,COM:GR,COMPAGNIE,COM.DE,DEUTSCHE BÖRSE
DE0005439004,CONTINENTAL AG CONTINENTAL,XETR,DEU-XETRA,EUR,STOCK,CON:GR,,CON.DE,DEUTSCHE BÖRSE
DE0006062144,COVESTRO AG COVESTRO,XETR,DEU-XETRA,EUR,STOCK,1COV:GR,AG,1COV.DE,DEUTSCHE BÖRSE
FR0000045072,CREDIT AGRICOLE CREDIT,XETR,DEU-XETRA,EUR,STOCK,XCA:GR,AGRIC,XCA.DE,DEUTSCHE BÖRSE
NL0015073TS8,CSG BV CSG,XETR,DEU-XETRA,EUR,STOCK,NW0:GR,BV,NW0.DE,DEUTSCHE BÖRSE
DE0005470306,CTS EVENTIM AG & CO CTS,XETR,DEU-XETRA,EUR,STOCK,EVD:GR,EVENTIM,EVD.DE,DEUTSCHE BÖRSE
JP3481800005,DAIKIN IND LTD DAIKIN,XETR,DEU-XETRA,EUR,STOCK,DKI:GR,IND,DKI.DE,DEUTSCHE BÖRSE
FR0000130403,DIOR,XETR,DEU-XETRA,EUR,STOCK,DIO:GR,DIOR,DIO.DE,DEUTSCHE BÖRSE
DE0007100000,MERCEDES BENZ GROUP AG MERCEDES,XETR,DEU-XETRA,EUR,STOCK,MBG:GR,BEN,MBG.DE,DEUTSCHE BÖRSE
DE000DTR0CK8,DAIMLER TRUCK DAIMLERTRUCK,XETR,DEU-XETRA,EUR,STOCK,DTG:GR,,DTG.DE,DEUTSCHE BÖRSE
FR0000120644,DANONE,XETR,DEU-XETRA,EUR,STOCK,BSN:GR,DANONE,BSN.DE,DEUTSCHE BÖRSE
FR0014003TT8,DASSAULT SYSTEMES SA DASSAULT,XETR,DEU-XETRA,EUR,STOCK,DSY1:GR,SYS,DSY1.DE,DEUTSCHE BÖRSE
DE000A0JC8S7,DATAGROUP SE DATAGROUP,XETR,DEU-XETRA,EUR,STOCK,D6H:GR,SE,D6H.DE,DEUTSCHE BÖRSE
SG1L01001701,DBS GROUP DBS,XETR,DEU-XETRA,EUR,STOCK,DEVL:GR,GROUP,DEVL.DE,DEUTSCHE BÖRSE
CA24477V1058,DEFINIUM THERAPEUTICS INC DEFINIUM THR MMQ:F MMQ,XETR,DEU-XETRA,EUR,STOCK,,,,DEUTSCHE BÖRSE
DE000A2E4K43,DELIVERY HERO AG DELIVERYHERO,XETR,DEU-XETRA,EUR,STOCK,DHER:GR,,DHER.DE,DEUTSCHE BÖRSE
DE000A2GS5D8,DERMAPHARM HOLDING,XETR,DEU-XETRA,EUR,STOCK,DMP:GR,DERMAPHARM,DMP.DE,DEUTSCHE BÖRSE
DE0005140008,DEUTSCHE BANK-RG DEUT,XETR,DEU-XETRA,EUR,STOCK,DBK:GR,BANK-RG,DBK.DE,DEUTSCHE BÖRSE
DE0005810055,DEUTSCHE BOERSE DEUT,XETR,DEU-XETRA,EUR,STOCK,DB1:GR,BOERSE,DB1.DE,DEUTSCHE BÖRSE
DE0007480204,DEUTSCHE EUROSHOP AG DEUT,XETR,DEU-XETRA,EUR,STOCK,DEQ:GR,EUROSHO,DEQ.DE,DEUTSCHE BÖRSE
DE0008232125,DEUTSCHE LUFTHANSA AG,XETR,DEU-XETRA,EUR,STOCK,LHA:GR,LUFTHANSA,LHA.DE,DEUTSCHE BÖRSE
DE0008019001,DEUTSCHE PFANDBR DEUT,XETR,DEU-XETRA,EUR,STOCK,PBB:GR,PFANDBR,PBB.DE,DEUTSCHE BÖRSE
DE0005552004,DEUTSCHE POST-RG DEUT,XETR,DEU-XETRA,EUR,STOCK,DPW:GR,POST-RG,DPW.DE,DEUTSCHE BÖRSE
DE0005557508,DEUTSCHE TELEKOM DEUT,XETR,DEU-XETRA,EUR,STOCK,DTE:GR,TELEKOM,DTE.DE,DEUTSCHE BÖRSE
DE000A0HN5C6,DEUTSCHE WOHN-BR DEUT,XETR,DEU-XETRA,EUR,STOCK,DWNI:GR,WOHN-BR,DWNI.DE,DEUTSCHE BÖRSE
DE000A1X3XX4,DIC ASSET AG DIC ASSET,XETR,DEU-XETRA,EUR,STOCK,DIC:GR,AG,DIC.DE,DEUTSCHE BÖRSE
AU000000DRO2,DRONESHIELD LTD DRONESHIELD,XETR,DEU-XETRA,EUR,STOCK,DRH:GR,LTD,DRH.DE,DEUTSCHE BÖRSE
DE0005565204,DUERR AG DUERR,XETR,DEU-XETRA,EUR,STOCK,DUE:GR,AG,DUE.DE,DEUTSCHE BÖRSE
DE000ENAG999,E.ON SE E.ON,XETR,DEU-XETRA,EUR,STOCK,EOAN:GR,SE,EOAN.DE,DEUTSCHE BÖRSE
DE0005659700,ECKERT & ZIEGLER AG ECKERT&ZIEGL,XETR,DEU-XETRA,EUR,STOCK,EUZ:GR,,EUZ.DE,DEUTSCHE BÖRSE
PTEDP0AM0009,EDP- ENERGIAS DE PORTUGAL,XETR,DEU-XETRA,EUR,STOCK,EDP:GR,EDP,EDP.DE,DEUTSCHE BÖRSE
IT0003128367,ENEL SPA ENEL,XETR,DEU-XETRA,EUR,STOCK,ENL:GR,SPA,ENL.DE,DEUTSCHE BÖRSE
FR0010208488,ENGIE,XETR,DEU-XETRA,EUR,STOCK,GZF:GR,ENGIE,GZF.DE,DEUTSCHE BÖRSE
CA2926717083,ENERGY FUELS INC ENERGY,XETR,DEU-XETRA,EUR,STOCK,VO51:GR,FUELS,VO51.DE,DEUTSCHE BÖRSE
AT0000652011,ERSTE GROUP BANK ERSTE,XETR,DEU-XETRA,EUR,STOCK,EBO:GR,GROUP,EBO.DE,DEUTSCHE BÖRSE
DE000EVNK013,EVONIK INDUSTRIE EVONIK,XETR,DEU-XETRA,EUR,STOCK,EVK:GR,INDUS,EVK.DE,DEUTSCHE BÖRSE
DE0005664809,EVOTEC SE,XETR,DEU-XETRA,EUR,STOCK,EVT:GR,EVOTEC,EVT.DE,DEUTSCHE BÖRSE
FR0000121147,FAURECIA SE,XETR,DEU-XETRA,EUR,STOCK,FAU:GR,FAURECIA,FAU.DE,DEUTSCHE BÖRSE
DE0005772206,FIELMANN AG FIELMANN,XETR,DEU-XETRA,EUR,STOCK,FIE:GR,AG,FIE.DE,DEUTSCHE BÖRSE
DE000FTG1111,FINTECH GROUP AG,XETR,DEU-XETRA,EUR,STOCK,FTK:GR,FINTECH,FTK.DE,DEUTSCHE BÖRSE
DE0005773303,FRAPORT AG FRAPORT,XETR,DEU-XETRA,EUR,STOCK,FRA:GR,AG,FRA.DE,DEUTSCHE BÖRSE
DE0005785802,FRESENIUS MEDICA FRESENIUS,XETR,DEU-XETRA,EUR,STOCK,FME:GR,ME,FME.DE,DEUTSCHE BÖRSE
DE0005785604,FRESENIUS SE & CO FRESENIUS,XETR,DEU-XETRA,EUR,STOCK,FRE:GR,SE,FRE.DE,DEUTSCHE BÖRSE
JP3818000006,FUJITSU LTD FUJITSU,XETR,DEU-XETRA,EUR,STOCK,FUJ1:GR,LTD,FUJ1.DE,DEUTSCHE BÖRSE
DE0006602006,GEA GROUP AG GEA GROUP,XETR,DEU-XETRA,EUR,STOCK,G1A:GR,AG,G1A.DE,DEUTSCHE BÖRSE
DE000A0LD6E6,GERRESHEIMER AG GERRESHEIMER,XETR,DEU-XETRA,EUR,STOCK,GXI:GR,,GXI.DE,DEUTSCHE BÖRSE
DE0005800601,GFT TECHNOLOGIES SE GFT,XETR,DEU-XETRA,EUR,STOCK,GFT:GR,TECHN,GFT.DE,DEUTSCHE BÖRSE
CA38149E1016,GOLDMINING INC,XETR,DEU-XETRA,EUR,STOCK,BSR:GR,GOLDMINING,BSR.DE,DEUTSCHE BÖRSE
DE000A161N30,GRENKE AG GRENKE,XETR,DEU-XETRA,EUR,STOCK,GLJ:GR,AG,GLJ.DE,DEUTSCHE BÖRSE
DE000A3H2333,HAMBORNER REIT AG HAMBORNER,XETR,DEU-XETRA,EUR,STOCK,HABA:GR,RE,HABA.DE,DEUTSCHE BÖRSE
DE000A0S8488,HAMBURGER HAFEN HAMBURGER,XETR,DEU-XETRA,EUR,STOCK,HHFA:GR,HA,HHFA.DE,DEUTSCHE BÖRSE
DE0008402215,HANNOVER RUECK HANNOVER,XETR,DEU-XETRA,EUR,STOCK,HNR1:GR,RUE,HNR1.DE,DEUTSCHE BÖRSE
DE000HLAG475,HAPAG-LLOYD AG HAPAG-LLOYD,XETR,DEU-XETRA,EUR,STOCK,HLAG:GR,,HLAG.DE,DEUTSCHE BÖRSE
NL0015002K83,HAVAS NV,XETR,DEU-XETRA,EUR,STOCK,JP7:GR,HAVAS,JP7.DE,DEUTSCHE BÖRSE
DE0006047004,HEIDELBERGCEMENT HEIDELBERGCE,XETR,DEU-XETRA,EUR,STOCK,HEI:GR,,HEI.DE,DEUTSCHE BÖRSE
NL0000009165,HEINEKEN NV HEINEKEN,XETR,DEU-XETRA,EUR,STOCK,HNK1:GR,NV,HNK1.DE,DEUTSCHE BÖRSE
DE000A13SX22,HELLA KGAA HUECK HELLA,XETR,DEU-XETRA,EUR,STOCK,HLE:GR,KGAA,HLE.DE,DEUTSCHE BÖRSE
DE000A161408,HELLOFRESH,XETR,DEU-XETRA,EUR,STOCK,HFG:GR,HELLOFRESH,HFG.DE,DEUTSCHE BÖRSE
DE0006048432,HENKEL AG -PFD HENKEL AG,XETR,DEU-XETRA,EUR,STOCK,HEN3:GR,-P,HEN3.DE,DEUTSCHE BÖRSE
SE0000106270,HENNES & MAURITZ AB H&M,XETR,DEU-XETRA,EUR,STOCK,HMSB:GR,,HMSB.DE,DEUTSCHE BÖRSE
DE000HAG0005,HENSOLDT AG,XETR,DEU-XETRA,EUR,STOCK,HAG:GR,HENSOLDT,HAG.DE,DEUTSCHE BÖRSE
DE0006070006,HOCHTIEF AG HOCHTIEF,XETR,DEU-XETRA,EUR,STOCK,HOT:GR,AG,HOT.DE,DEUTSCHE BÖRSE
DE000A1PHFF7,HUGO BOSS HUGO,XETR,DEU-XETRA,EUR,STOCK,BOSS:GR,BOSS,BOSS.DE,DEUTSCHE BÖRSE
DE0005493365,HYPOPORT AG HYPOPORT,XETR,DEU-XETRA,EUR,STOCK,HYQ:GR,AG,HYQ.DE,DEUTSCHE BÖRSE
ES0144580Y14,IBERDROLA SA IBERDROLA,XETR,DEU-XETRA,EUR,STOCK,IBE1:GR,SA,IBE1.DE,DEUTSCHE BÖRSE
AT0000A21KS2,IMMOFINANZ AG,XETR,DEU-XETRA,EUR,STOCK,IMO1:GR,IMMOFINANZ,IMO1.DE,DEUTSCHE BÖRSE
ES0148396007,INDITEX,XETR,DEU-XETRA,EUR,STOCK,IXD1:GR,INDITEX,IXD1.DE,DEUTSCHE BÖRSE
DE0006200108,INDUS HLDG AG INDUS,XETR,DEU-XETRA,EUR,STOCK,INH:GR,HLDG,INH.DE,DEUTSCHE BÖRSE
CNE1000003G1,IND&COM,XETR,DEU-XETRA,EUR,STOCK,ICK:GR,BANK,ICK.DE,DEUTSCHE BÖRSE
DE0006231004,INFINEON TECH INFINEON,XETR,DEU-XETRA,EUR,STOCK,IFX:GR,TEC,IFX.DE,DEUTSCHE BÖRSE
NL0011821202,ING GROEP N.V. ING GROEP,XETR,DEU-XETRA,EUR,STOCK,INNA:GR,NV,INNA.DE,DEUTSCHE BÖRSE
LU2290522684,INPOST S.A.,XETR,DEU-XETRA,EUR,STOCK,669:GR,INPOST,669.DE,DEUTSCHE BÖRSE
IT0005452658,INTESA SANPAOLO INTESA,XETR,DEU-XETRA,EUR,STOCK,IES:GR,SANP,IES.DE,DEUTSCHE BÖRSE
CA46579R1047,IVANHOE MINES IVANHOE,XETR,DEU-XETRA,EUR,STOCK,IVN:GR,MINE,IVN.DE,DEUTSCHE BÖRSE
PTJMT0AE0001,JERONIMO MARTINS JERONIMO,XETR,DEU-XETRA,EUR,STOCK,JEM:GR,MAR,JEM.DE,DEUTSCHE BÖRSE
DE0006219934,JUNGHEINRICH-PFD JUNGHEINRICH,XETR,DEU-XETRA,EUR,STOCK,JUN3:GR,,JUN3.DE,DEUTSCHE BÖRSE
DE000KSAG888,K+S AG-REG K+S,XETR,DEU-XETRA,EUR,STOCK,SDF:GR,AG-REG,SDF.DE,DEUTSCHE BÖRSE
BE0003565737,KBC GROEP KBC,XETR,DEU-XETRA,EUR,STOCK,KDB:GR,GROEP,KDB.DE,DEUTSCHE BÖRSE
JP3236200006,KEYENCE CORP KEYENCE,XETR,DEU-XETRA,EUR,STOCK,KEE:GR,CORP,KEE.DE,DEUTSCHE BÖRSE
