isin,mbank_name,full_name,figi_ticker,exchange_code,security_type,market_sector,figi,source
PL11BTS00015,11BIT,11 BIT STUDIOS SA,11B,PW,Common Stock,Equity,BBG0018708N0,openfigi
PLAB00000019,ABPL,AB SA,ABE,PW,Common Stock,Equity,BBG000D2ZHY7,openfigi
PLAGORA00067,AGORA,AGORA SA,AGO,PW,Common Stock,Equity,BBG000F745M7,openfigi
PLALIOR00045,ALIOR,ALIOR BANK SA,ALR,PW,Common Stock,Equity,BBG003M95W30,openfigi
LU2237380790,ALLEGRO,ALLEGRO.EU SA,ALE,PW,Common Stock,Equity,BBG00XC93616,openfigi
PLAMICA00010,AMICA,AMICA SA,AMC,PW,Common Stock,Equity,BBG000CJ7SW0,openfigi
ES0105375002,AMREST,AMREST HOLDINGS SE,EAT,PW,Common Stock,Equity,BBG000BXN1R7,openfigi
PLANSWR00019,ANSWEAR,ANSWEAR.COM SA - A,ANR,PW,Common Stock,Equity,BBG00YT5MV90,openfigi
PLAPATR00018,APATOR,APATOR SA,APT,PW,Common Stock,Equity,BBG000CJ2519,openfigi
PLARTPR00012,ARCTIC,ARCTIC PAPER SA,ATC,PW,Common Stock,Equity,BBG000PMFXQ6,openfigi
PLARLEN00012,ARLEN,ARLEN SA,ARL,PW,Common Stock,Equity,BBG01VD0NZ11,openfigi
CY1000031710,ASBIS,ASBISC ENTERPRISES PLC,ASB,PW,Common Stock,Equity,BBG000TJWNB8,openfigi
PLABS0000018,ASSECOBS,ASSECO BUSINESS SOLUTIONS SA,ABS,PW,Common Stock,Equity,BBG000TGC1K4,openfigi
PLSOFTB00016,ASSECOPOL,ASSECO POLAND SA,ACP,PW,Common Stock,Equity,BBG000F6VHT6,openfigi
PLASSEE00014,ASSECOSEE,ASSECO SOUTH EASTERN EUROPE,ASE,PW,Common Stock,Equity,BBG000PRRCL3,openfigi
PLATAL000046,ATAL,ATAL SA/POLAND,1AT,PW,Common Stock,Equity,BBG0088LCR59,openfigi
PLATREM00017,ATREM,ATREM SA,ATR,PW,Common Stock,Equity,BBG000G8RFF5,openfigi
